account,block,metric,dimension,value
tedxutokyo,overview,followers,—,3026
tedxutokyo,overview,total_posts,—,739
tedxutokyo,overview,analyzed_posts,—,200
tedxutokyo,overview,avg_engagement_rate,—,0.57
tedxutokyo,overview,avg_likes,—,17.34
tedxutokyo,overview,avg_comments,—,0.01
tedxutokyo,overview,avg_engagement,—,17.36
tedxutokyo,overview,max_single_post_engagement,—,100
tedxutokyo,overview,comment_like_ratio,—,0.09
tedxutokyo,post_type,post_count,photo,174
tedxutokyo,post_type,share(%),photo,87.0
tedxutokyo,post_type,avg_engagement_rate(%),photo,0.56
tedxutokyo,post_type,avg_engagement,photo,17.05
tedxutokyo,post_type,post_count,GraphSidecar,26
tedxutokyo,post_type,share(%),GraphSidecar,13.0
tedxutokyo,post_type,avg_engagement_rate(%),GraphSidecar,0.64
tedxutokyo,post_type,avg_engagement,GraphSidecar,19.42
tedxutokyo,weekday,post_count,Mon,8
tedxutokyo,weekday,avg_engagement_rate(%),Mon,0.74
tedxutokyo,weekday,post_count,Tue,27
tedxutokyo,weekday,avg_engagement_rate(%),Tue,0.75
tedxutokyo,weekday,post_count,Wed,17
tedxutokyo,weekday,avg_engagement_rate(%),Wed,0.35
tedxutokyo,weekday,post_count,Thu,20
tedxutokyo,weekday,avg_engagement_rate(%),Thu,0.43
tedxutokyo,weekday,post_count,Fri,4
tedxutokyo,weekday,avg_engagement_rate(%),Fri,1.45
tedxutokyo,weekday,post_count,Sat,29
tedxutokyo,weekday,avg_engagement_rate(%),Sat,0.43
tedxutokyo,weekday,post_count,Sun,95
tedxutokyo,weekday,avg_engagement_rate(%),Sun,0.59
tedxutokyo,time_band,post_count,morning(05-10),0
